Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
KYNU	296.2994306	70.07148215	39.20610994	858.7450615	7308.577846
LAG3	36.29565926	139.8539928	175.1856105	7.92284356	215.1741661
LAIR2	424.4791722	1596.837227	371.0335929	103.0030242	78.2599751
LAMP3	47.28278554	210.8261404	160.3048593	38.76231871	23356.30643
LAT	157.4129632	1722.578313	3282.260737	239.5833162	218.7467931
LCK	337.4400897	3604.565205	7786.120969	80.75884433	57.6156067
LEF1	30.90820518	115.1927029	1154.223661	12.54164279	16.8510481
LHCGR	154.6890469	21.7148195	8.255798098	11.47012114	21.31678215
LILRA2	20.88194891	101.3950793	18.02258618	1764.823942	67.56872756
LILRA3	7.153043448	20.37949338	6.052620848	880.456908	394.9475489
LILRA4	33.02123349	19.49828414	57.84876862	65.68769791	31.18408975
LILRB2	30.88657745	201.7195756	9.996682874	3344.118855	291.7908682
LIME1	23.92087663	181.4780792	1225.59738	78.16252525	48.5118084
LINC00597	15.98296208	128.013785	3.681017104	23.18626902	6.369784788
LINC00921	675.1218227	116.2458441	146.1436716	69.03803764	30.69076634
LOC100130100	19.84751256	10.35285767	16.09778833	16.13831431	15.35656506
LOC126987	135.5693196	86.37729281	91.28169833	68.19210687	91.89975985
LRMP	2106.83981	1245.630394	327.4987971	1048.681062	114.6747087
LST1	29.98420127	672.9594285	332.3730932	5975.189254	946.6004764
LTA	11.68110017	24.18839952	27.69750654	12.51621864	12.82463268
LTB	10351.64143	1009.906661	12009.36242	321.3564756	112.0607213
LTC4S	61.1295924	162.8566162	78.40840372	91.87551209	67.02300291
LY86	6947.982466	243.1158973	198.5520941	5218.063407	601.1020453
LY9	289.0732036	271.972779	1298.433446	30.00087721	32.7996725
MAGEA11	21.99996581	19.87971163	46.81934	5.93274616	7.145470373
MAK	20.11347878	11.47152467	9.822978292	24.81417634	54.01241952
MAN1A1	293.5258353	381.9911766	219.4246857	205.5255231	444.6270407
MANEA	3.436589508	72.1721013	63.61546587	67.09972733	130.2198315
MAP3K13	5.152513024	7.176074961	6.382539853	7.051783275	195.7507332
MAP4K1	48.65001463	747.3149188	1387.561664	317.9668785	23.10683533
MAP4K2	10.65044684	11.12538801	20.0115018	12.04202684	11.22679921
MAP9	10.29840785	37.63679768	25.30523597	1.421006596	2.772555856
MARCH3	611.9846331	190.5710992	78.59525306	103.5658121	125.2511774
MARCO	9.029403736	16.1160018	10.71025113	236.7362055	15.15488638
MAST1	9.251047619	10.71480628	8.220261044	8.492607794	7.654391457
MBL2	59.05366978	14.15214366	6.171513508	4.939369175	23.80513621
MEFV	27.28348256	19.76334445	12.67206304	552.7124986	10.86423794
MEP1A	939.6261506	85.62849683	141.2290524	98.26125945	321.8834531
MGAM	8.043975587	314.5412721	6.159428432	159.713285	6.625392634
MICAL3	328.9820884	40.04773519	126.6902267	15.57018571	22.58563747
MMP12	746.9258791	98.16379	114.8747346	95.85109514	3929.353984
MMP25	136.2875659	149.937847	168.1540221	446.4796965	1130.6098
MMP9	338.94428	688.2490954	395.4202673	335.4295326	2899.726139
MNDA	29.5032353	790.3716005	8.750532337	11447.56145	2133.559627
MROH7	23.05515036	19.11115142	31.49065027	31.92868262	29.81710869
MS4A1	18085.9446	193.3316222	220.8581711	128.6338935	122.1899811
MS4A2	151.2024037	93.27967612	111.3833723	52.17720971	95.08035664
MS4A3	121.2914634	592.6171613	40.41954215	23.55316735	21.23223044
MS4A6A	1102.971199	222.7095319	216.3694922	8814.800982	167.4361623
MSC	28.93411812	60.98475714	85.70898291	47.46789206	1844.921425
MXD1	22.77650595	201.8229525	110.942725	250.0158171	247.6648431
MYB	365.4798555	615.5214621	269.6240292	300.7619354	366.9910132
MZB1	46.81934	21.76048739	9.914966708	24.85648896	22.41174764
NAALADL1	11.62316713	344.9584692	147.3280124	31.52382891	17.6608551
NCF2	153.4955828	483.3850653	88.17850315	12280.85608	3147.592954
NCR3	152.0118385	1482.733424	411.610723	56.94572009	33.09868234
NFE2	6.094544149	134.3635052	33.47001344	1517.644033	11.95985661
NIPSNAP3B	1577.975004	152.7729655	137.6053305	89.57172242	124.3434718
NKG7	6.994769751	13911.17937	679.6910465	34.65463899	6.557717872
NLRP3	22.14183418	44.60257144	48.05321317	636.6292677	19.68892684
NMBR	507.384036	29.15508056	31.0595517	77.85728222	17.42986379
NME8	4.031081011	253.5462988	3.210667699	14.82529394	7.978826221
NOD2	6.932520098	178.2578801	124.1410057	1302.129171	249.2072515
NOX3	12.00966261	7.475615219	9.107287855	11.17305851	7.139098203
NPAS1	18.22767575	12.18029946	20.72030953	14.37797149	15.18946538
NPIPB15	1624.147916	288.973686	753.235961	176.7823779	154.0423997
NPL	18.58723205	98.03373398	77.75838355	856.4061947	469.3198548
NR4A3	136.961868	81.37480444	96.79674591	91.30097224	2205.779288
NTN3	6.560415317	5.960532656	11.48733325	8.728208573	7.932018996
NTRK1	13.56995609	9.510068915	15.01956589	11.91460935	8.220089782
ORC1	23.68477152	28.16743979	49.69010165	42.26892867	20.24691855
OSM	2.05303015	2.264192614	4.818030863	4.071675747	3.537000212
P2RX1	161.7246112	133.7653785	119.891114	686.8592062	57.63014286
P2RX5	9725.14216	507.7460936	770.0178375	175.5409499	35.5352843
